"Varianten-ID","Name 1","Produkttyp","Farbe","Kompatibel zu","Variantenbeschreibung","Enthält","Kapazität","Patronen Nr"
76672,"Kompatibel Cartridge Samsung CLT-Y4072S yellow","Toner","Yellow","Samsung CLP-320<br>Samsung CLP-320 N<br>Samsung CLP-320 Series<br>Samsung CLP-325<br>Samsung CLP-325 N<br>Samsung CLP-325 W<br>Samsung CLX-3180<br>Samsung CLX-3185<br>Samsung CLX-3185 FN<br>Samsung CLX-3185 FW<br>Samsung CLX-3185 N<br>Samsung CLX-3185 Series<br>Samsung CLX-3185 W",,,"2x 1500 Seiten / 3x 1000 Seiten","CLT-P4072C"
76673,"Kompatibel Ersatzpatronen Samsung CLT-M4072S magenta","Toner","Magenta","Samsung CLP-320<br>Samsung CLP-320 N<br>Samsung CLP-320 Series<br>Samsung CLP-325<br>Samsung CLP-325 N<br>Samsung CLP-325 W<br>Samsung CLX-3180<br>Samsung CLX-3185<br>Samsung CLX-3185 FN<br>Samsung CLX-3185 FW<br>Samsung CLX-3185 N<br>Samsung CLX-3185 Series<br>Samsung CLX-3185 W",,,"2x 1000 Seiten","CLT-M4072S"
76682,"Kompatibel HP 507X 507A Tonerkassetten","Toner","Cyan, Magenta, Yelllow, Black","HP Color LaserJet Managed M 575 cm<br>HP Color LaserJet Managed MFP M 575 dnm<br>HP LaserJet Enterprise 500 color M 551 dn<br>HP LaserJet Enterprise 500 color M 551 n<br>HP LaserJet Enterprise 500 color M 551 Series<br>HP LaserJet Enterprise 500 color M 551 xh<br>HP LaserJet Enterprise 500 color M 575 c<br>HP LaserJet Enterprise 500 color M 575 dn<br>HP LaserJet Enterprise 500 color M 575 f<br>HP LaserJet Enterprise 500 color M 575 Series<br>HP LaserJet Enterprise 500 color M 577 dnm<br>HP LaserJet Enterprise color flow MFP M 575 c<br>HP LaserJet Pro 500 color MFP M 570 dn<br>HP LaserJet Pro 500 color MFP M 570 dw<br>HP LaserJet Pro 500 Series",,,"4x 11000 Seiten / 6x 6000 Seiten","HP 507A 507X"
96331,"Kompatibel HP 507X CE400X 507A CE401A CE402A CE403A Toner 4 Stück","Toner","Cyan, Magenta, Yelllow, Black","HP Color LaserJet Managed M 575 cm<br>HP Color LaserJet Managed MFP M 575 dnm<br>HP LaserJet Enterprise 500 color M 551 dn<br>HP LaserJet Enterprise 500 color M 551 n<br>HP LaserJet Enterprise 500 color M 551 Series<br>HP LaserJet Enterprise 500 color M 551 xh<br>HP LaserJet Enterprise 500 color M 575 c<br>HP LaserJet Enterprise 500 color M 575 dn<br>HP LaserJet Enterprise 500 color M 575 f<br>HP LaserJet Enterprise 500 color M 575 Series<br>HP LaserJet Enterprise 500 color M 577 dnm<br>HP LaserJet Enterprise color flow MFP M 575 c<br>HP LaserJet Pro 500 color MFP M 570 dn<br>HP LaserJet Pro 500 color MFP M 570 dw<br>HP LaserJet Pro 500 Series",,,"1x 11000 Seiten / 3x 6000 Seiten","HP 507A, 507X"
96332,"Kompatibel HP 507X CE400X 507A CE401A CE402A CE403A Tonerpatronen","Toner","Cyan, Magenta, Yelllow, Black","HP Color LaserJet Managed M 575 cm<br>HP Color LaserJet Managed MFP M 575 dnm<br>HP LaserJet Enterprise 500 color M 551 dn<br>HP LaserJet Enterprise 500 color M 551 n<br>HP LaserJet Enterprise 500 color M 551 Series<br>HP LaserJet Enterprise 500 color M 551 xh<br>HP LaserJet Enterprise 500 color M 575 c<br>HP LaserJet Enterprise 500 color M 575 dn<br>HP LaserJet Enterprise 500 color M 575 f<br>HP LaserJet Enterprise 500 color M 575 Series<br>HP LaserJet Enterprise 500 color M 577 dnm<br>HP LaserJet Enterprise color flow MFP M 575 c<br>HP LaserJet Pro 500 color MFP M 570 dn<br>HP LaserJet Pro 500 color MFP M 570 dw<br>HP LaserJet Pro 500 Series",,,"2x 11000 Seiten / 3x 6000 Seiten","HP 507A, 507X"
96333,"Kompatibel HP 507X CE400X Toner Cartridge black","Toner","Black","HP Color LaserJet Managed M 575 cm<br>HP Color LaserJet Managed MFP M 575 dnm<br>HP LaserJet Enterprise 500 color M 551 dn<br>HP LaserJet Enterprise 500 color M 551 n<br>HP LaserJet Enterprise 500 color M 551 Series<br>HP LaserJet Enterprise 500 color M 551 xh<br>HP LaserJet Enterprise 500 color M 575 c<br>HP LaserJet Enterprise 500 color M 575 dn<br>HP LaserJet Enterprise 500 color M 575 f<br>HP LaserJet Enterprise 500 color M 575 Series<br>HP LaserJet Enterprise 500 color M 577 dnm<br>HP LaserJet Enterprise color flow MFP M 575 c<br>HP LaserJet Pro 500 color MFP M 570 dn<br>HP LaserJet Pro 500 color MFP M 570 dw<br>HP LaserJet Pro 500 Series",,,"2x 11000 Seiten","HP 507X"
96334,"Kompatibel HP 507X CE400X 507A CE401A CE402A CE403A Tonerkartuschen","Toner","Cyan, Magenta, Yelllow, Black","HP Color LaserJet Managed M 575 cm<br>HP Color LaserJet Managed MFP M 575 dnm<br>HP LaserJet Enterprise 500 color M 551 dn<br>HP LaserJet Enterprise 500 color M 551 n<br>HP LaserJet Enterprise 500 color M 551 Series<br>HP LaserJet Enterprise 500 color M 551 xh<br>HP LaserJet Enterprise 500 color M 575 c<br>HP LaserJet Enterprise 500 color M 575 dn<br>HP LaserJet Enterprise 500 color M 575 f<br>HP LaserJet Enterprise 500 color M 575 Series<br>HP LaserJet Enterprise 500 color M 577 dnm<br>HP LaserJet Enterprise color flow MFP M 575 c<br>HP LaserJet Pro 500 color MFP M 570 dn<br>HP LaserJet Pro 500 color MFP M 570 dw<br>HP LaserJet Pro 500 Series",,,"2x 11000 Seiten / 6x 6000 Seiten","HP 507A, 507X"
96355,"Kompatibel Canon 731 6269B002 Cartridge yellow","Toner","Yellow","<p>Apple Color Stylewriter 2400<br />Apple Color Stylewriter 2500<br />Calcomp 5624<br />Calcomp 5636<br />Calcomp Techjet Designer 5500 Series<br />Calcomp Techjet Designer 5524<br />Calcomp Techjet Designer 5536<br />Calcomp Techjet Designer 720 C<br />Calcomp Techjet Designer Plotter<br />Canon BJC 2000<br />Canon BJC 2100<br />Canon BJC 2100 Series<br />Canon BJC 2115<br />Canon BJC 2120<br />Canon BJC 400<br />Canon BJC 400 J<br />Canon BJC 400 Series<br />Canon BJC 4000<br />Canon BJC 4000 E<br />Canon BJC 4000 Series<br />Canon BJC 410 J<br />Canon BJC 410 Series<br />Canon BJC 4100<br />Canon BJC 411 F<br />Canon BJC 420 J<br />Canon BJC 4200<br />Canon BJC 430 J<br />Canon BJC 4300<br />Canon BJC 4300 S<br />Canon BJC 4300 Series<br />Canon BJC 4302<br />Canon BJC 4304<br />Canon BJC 4400<br />Canon BJC 455 J<br />Canon BJC 4550<br />Canon BJC 4650<br />Canon BJC 5000<br />Canon BJC 5100<br />Canon BJC 5500<br />Canon CFX B 380 IF<br />Canon Fax B 180 C<br />Canon Fax B 210 C<br />Canon Fax B 210 Series<br />Canon Fax B 215 C<br />Canon Fax B 230 C<br />Canon Fax C 855<br />Canon IJ 5100<br />Canon Multipass C 20<br />Canon Multipass C 2500<br />Canon Multipass C 30<br />Canon Multipass C 3000<br />Canon Multipass C 3500<br />Canon Multipass C 50<br />Canon Multipass C 5000<br />Canon Multipass C 530<br />Canon Multipass C 545<br />Canon Multipass C 5500<br />Canon Multipass C 555<br />Canon Multipass C 560<br />Canon Multipass C 6000<br />Canon Multipass C 635<br />Canon Multipass C 70<br />Canon Multipass C 75<br />Canon Multipass C 80<br />Canon Multipass C 90<br />Canon S 100<br />Canon S 5500<br />Infotec 3525<br />Infotec Fax 3525<br />NRG 6230<br />NRG P 293<br />OCE 5120<br />OCE 5125<br />Panasonic KX-F 1600<br />Rex Rotary 6230<br />Savin Savinfax 3615 C<br />Selex SR 700<br />Selex SR 850 D<br />Selex SR 850 E<br />Selex SR 850 Series<br />Selex SR 950 D<br />Selex SR 950 E<br />Selex SR 950 Series<br />Tally Genicom T 7070<br />Tally Genicom T 7070 C<br />Telekom T-Fax 362 PC<br />Telekom T-Fax 363 PC<br />Telekom T-Fax 5500<br />Telekom T-Fax 5830</p>",,,"2x 1800 Seiten","HP 731"
96953,"Kompatibel Brother TN-2010 Toner black 4 Stück","Toner","Black","Brother DCP-7055<br>Brother DCP-7055W<br>Brother DCP-7057<br>Brother HL-2130<br>Brother HL-2130R<br>Brother HL-2132<br>Brother HL-2132R<br>Brother HL-2135W",,,"4x 1000 Seiten ","TN-2010"
96954,"Kompatibel Brother TN-2010 Toner Cartridges black","Toner","Black","Brother DCP-7055<br>Brother DCP-7055W<br>Brother DCP-7057<br>Brother HL-2130<br>Brother HL-2130R<br>Brother HL-2132<br>Brother HL-2132R<br>Brother HL-2135W",,,"2x 1000 Seiten ","TN-2010"
